Negara,Tahun,Crime Rate,Safety Rate
Indonesia,2020,"45,8",
Indonesia,2021,"46,2",
Indonesia,2022,"46,1",
Indonesia,2023,"45,9",
Indonesia,2024,"46,1",
Malaysia ,2020,"58,8",
Malaysia ,2021,"57,9",
Malaysia ,2022,"55,7",
Malaysia ,2023,"52,9",
Malaysia ,2024,"50,7",
Philipina,2020,"42,2",
Philipina,2021,"42,2",
Philipina,2022,"42,3",
Philipina,2023,"42,7",
Philipina,2024,"42,8",
Brunei,2020,"27,7",
Brunei,2021,28,
Brunei,2022,29,
Brunei,2023,29,
Brunei,2024,"29,5",
Singapore,2020,"30,6",
Singapore,2021,33,
Singapore,2022,"27,6",
Singapore,2023,"29,2",
Singapore,2024,"23,5",
Thailand,2020,"40,5",
Thailand,2021,"39,4",
Thailand,2022,"39,3",
Thailand,2023,"38,7",
Thailand,2024,"37,9",
Myannar,2020,"45,9",
Myannar,2021,"47,2",
Myannar,2022,"46,5",
Myannar,2023,"48,2",
Myannar,2024,"50,4",
Cambodia,2020,"50,7",
Cambodia,2021,"51,2",
Cambodia,2022,"50,7",
Cambodia,2023,"52,9",
Cambodia,2024,"52,8",
Vietnam,2020,"45,3",
Vietnam,2021,"46,1",
Vietnam,2022,"45,8",
Vietnam,2023,"44,5",
Vietnam,2024,"42,2",